age,income,expenses,savings,debt,credit_score,impulse_purchases,num_bank_accounts,financial_goal,time_horizon_months,budget_score,investment_score,loan_knowledge_score,risk_score,literacy_level,recommended_monthly,save_rate,debt_to_income,expense_ratio
46,25877,9778,2429,10148,591,1,1,Debt Repayment,60,57,71,53,62,1,500,0.094,0.392,0.378
32,32969,12062,7764,11810,561,4,1,Debt Repayment,36,73,17,56,59,1,500,0.235,0.358,0.366
25,34479,23739,4083,13202,710,3,1,Emergency Fund,36,80,80,47,33,1,2685,0.118,0.383,0.688
38,33218,18689,5939,4586,555,4,1,Investing,6,74,0,32,59,0,27723,0.179,0.138,0.563
36,26573,9478,4213,5951,706,5,2,Debt Repayment,36,41,2,0,31,0,500,0.159,0.224,0.357
40,42701,31778,2239,1297,669,2,2,Short Term Savings,12,61,23,51,81,1,3673,0.052,0.03,0.744
28,33711,26280,7958,11885,581,2,1,Debt Repayment,60,58,60,3,56,1,500,0.236,0.353,0.78
28,8088,5946,805,2228,690,2,2,Investing,12,74,80,19,46,1,15322,0.1,0.275,0.735
41,40687,17143,1232,18570,592,2,3,Emergency Fund,12,70,28,58,44,1,9294,0.03,0.456,0.421
53,37664,26887,3355,4663,695,2,3,Debt Repayment,60,47,50,60,60,1,500,0.089,0.124,0.714
41,8407,2576,817,2203,587,2,1,Short Term Savings,12,66,76,63,0,1,3783,0.097,0.262,0.306
20,28173,13609,1164,3055,658,1,1,Short Term Savings,12,71,60,34,68,1,3756,0.041,0.108,0.483
39,51941,28011,8445,19134,646,2,1,Debt Repayment,6,66,98,42,42,1,500,0.163,0.368,0.539
19,17271,13836,1722,8787,600,1,1,Investing,6,59,28,52,25,1,28325,0.1,0.509,0.801
41,15156,8096,2496,6960,624,1,1,Debt Repayment,6,46,77,52,33,1,500,0.165,0.459,0.534
47,33502,10277,721,18979,598,3,3,Short Term Savings,6,51,26,50,58,1,7039,0.022,0.566,0.307
55,52458,26827,12897,30584,743,3,2,Short Term Savings,36,100,53,24,32,1,1002,0.246,0.583,0.511
19,76206,45674,4512,35300,593,1,1,Debt Repayment,12,36,47,35,40,0,1010,0.059,0.463,0.599
38,53178,46233,9127,9151,644,3,1,Investing,60,97,53,59,93,1,3129,0.172,0.172,0.869
50,61696,53343,11390,8116,482,1,1,Short Term Savings,36,97,17,66,28,1,1043,0.185,0.132,0.865
29,46933,19173,2791,12602,595,1,1,Investing,60,33,31,55,9,0,3232,0.059,0.269,0.409
39,26297,10810,1201,15681,700,1,2,Short Term Savings,12,47,21,55,39,1,3753,0.046,0.596,0.411
42,53034,21109,2921,13131,687,2,2,Emergency Fund,12,53,29,100,28,1,12013,0.055,0.248,0.398
44,38287,29609,2939,4573,684,0,2,Investing,12,47,42,84,78,1,15158,0.077,0.119,0.773
45,47540,14433,2790,26936,647,5,1,Emergency Fund,60,47,20,38,29,0,2292,0.059,0.567,0.304
33,21079,7932,3689,4880,670,4,3,Debt Repayment,12,73,26,98,19,1,500,0.175,0.231,0.376
32,49328,30720,5761,20448,765,2,1,Emergency Fund,36,65,59,71,74,1,3843,0.117,0.415,0.623
20,37589,16860,5401,17775,576,2,3,Investing,12,71,53,92,37,2,14969,0.144,0.473,0.449
54,44625,15860,1378,22575,748,0,1,Debt Repayment,36,56,87,67,85,2,500,0.031,0.506,0.355
24,38298,19758,8352,18872,579,1,1,Short Term Savings,36,55,48,32,36,1,1125,0.218,0.493,0.516
38,34455,16005,2040,17287,674,2,2,Investing,12,45,88,65,3,1,15227,0.059,0.502,0.465
26,49693,30146,5110,19906,581,1,1,Debt Repayment,36,69,7,39,20,0,500,0.103,0.401,0.607
35,31878,28293,1164,7723,717,2,2,Short Term Savings,12,80,0,70,0,1,3756,0.037,0.242,0.888
21,8226,3081,423,3293,546,1,3,Investing,36,37,35,12,0,0,5393,0.051,0.4,0.374
42,5000,2618,865,2510,569,6,1,Investing,6,75,33,59,49,1,28447,0.173,0.502,0.523
31,43688,37536,7833,9191,641,1,1,Debt Repayment,12,65,25,59,66,1,500,0.179,0.21,0.859
26,31055,25655,5456,5524,586,1,1,Emergency Fund,36,36,34,78,79,1,2370,0.176,0.178,0.826
43,5418,2907,796,1117,593,1,1,Debt Repayment,12,31,63,74,54,1,500,0.147,0.206,0.536
19,42130,30307,10072,13935,640,0,1,Investing,12,54,34,39,73,1,14609,0.239,0.331,0.719
37,38122,13446,5209,1199,549,2,2,Debt Repayment,12,49,62,36,36,1,500,0.137,0.031,0.353
45,30007,21830,3701,14024,660,0,1,Debt Repayment,12,80,76,33,62,1,500,0.123,0.467,0.727
24,44936,39710,3457,3743,679,3,3,Debt Repayment,36,52,63,43,2,1,500,0.077,0.083,0.884
25,66301,41271,2833,5284,524,2,2,Debt Repayment,6,49,39,44,38,1,500,0.043,0.08,0.622
52,65691,39355,9595,7790,669,4,1,Emergency Fund,12,51,34,74,79,1,14421,0.146,0.119,0.599
31,42875,17681,3962,14841,666,3,3,Debt Repayment,36,55,77,2,35,1,500,0.092,0.346,0.412
34,38305,26057,5382,6563,684,2,1,Emergency Fund,6,65,86,13,44,1,15647,0.141,0.171,0.68
53,43154,28234,2908,9530,659,1,2,Debt Repayment,36,81,52,14,80,1,500,0.067,0.221,0.654
21,46180,31917,9826,25814,678,1,2,Emergency Fund,60,35,65,46,58,1,2110,0.213,0.559,0.691
19,34634,10932,8656,17605,677,1,1,Debt Repayment,12,67,60,64,12,1,500,0.25,0.508,0.316
23,43490,27365,4094,22237,669,0,3,Emergency Fund,36,33,28,58,76,0,3415,0.094,0.511,0.629
21,8527,5601,1822,2955,679,1,2,Investing,6,80,47,25,80,1,28311,0.214,0.347,0.657
46,41626,17670,9190,21640,773,1,2,Debt Repayment,36,28,54,73,25,1,500,0.221,0.52,0.424
35,49536,21052,12339,23140,754,1,2,Emergency Fund,12,84,79,78,82,2,10482,0.249,0.467,0.425
43,30203,14066,2984,17274,640,3,2,Short Term Savings,36,78,41,68,55,1,1270,0.099,0.572,0.466
51,38090,27692,7385,1471,600,2,1,Short Term Savings,6,44,15,38,51,0,6087,0.194,0.039,0.727
27,17769,11794,1290,306,751,2,1,Emergency Fund,6,49,41,49,11,1,7431,0.073,0.017,0.664
53,14993,12106,2454,1574,833,4,1,Short Term Savings,12,22,40,75,72,1,3657,0.164,0.105,0.807
31,44216,21108,8052,24648,647,4,1,Short Term Savings,6,24,26,49,65,0,5992,0.182,0.557,0.477
48,25408,21526,4839,9231,689,2,1,Short Term Savings,60,54,70,53,69,1,740,0.19,0.363,0.847
32,5000,3731,338,1278,623,1,1,Emergency Fund,36,63,72,59,65,1,500,0.068,0.256,0.746
25,17764,9539,3822,5464,692,1,3,Short Term Savings,60,80,0,45,54,1,757,0.215,0.308,0.537
31,20672,7383,2414,10289,491,1,2,Investing,6,54,76,37,35,1,28226,0.117,0.498,0.357
40,55491,25203,3871,30934,608,3,1,Investing,12,57,52,60,78,1,15086,0.07,0.557,0.454
38,43582,38093,6309,19081,707,0,2,Debt Repayment,60,34,47,67,0,1,500,0.145,0.438,0.874
33,22567,10972,4932,10288,580,2,1,Short Term Savings,6,57,57,18,83,1,6438,0.219,0.456,0.486
35,28244,14063,6847,5429,694,0,1,Investing,12,61,1,49,54,0,14857,0.242,0.192,0.498
41,66241,27407,12724,18562,691,2,3,Investing,36,71,33,27,20,1,5061,0.192,0.28,0.414
43,58722,46044,1250,31188,696,1,2,Investing,12,59,62,49,30,1,15288,0.021,0.531,0.784
42,17638,8208,899,8317,609,6,2,Emergency Fund,36,78,58,82,39,2,1405,0.051,0.472,0.465
46,63270,31518,2375,25976,711,2,2,Emergency Fund,60,60,36,63,86,1,3072,0.038,0.411,0.498
32,38387,21059,1661,1502,797,2,1,Debt Repayment,12,57,46,45,44,1,500,0.043,0.039,0.549
18,55992,31368,6052,1327,610,2,2,Short Term Savings,36,75,48,100,65,2,1187,0.108,0.024,0.56
42,36733,20085,3594,2874,596,0,1,Investing,36,76,54,7,86,1,5308,0.098,0.078,0.547
24,63716,38372,2940,22226,636,1,2,Investing,36,53,99,36,62,1,5325,0.046,0.349,0.602
26,16807,13255,3746,5409,672,3,1,Emergency Fund,12,96,7,53,35,1,3590,0.223,0.322,0.789
41,34890,27617,5636,19734,567,3,2,Debt Repayment,6,65,23,25,45,0,604,0.162,0.566,0.792
18,64329,50111,13070,26815,613,1,3,Emergency Fund,12,62,45,14,24,1,13839,0.203,0.417,0.779
25,5000,1803,527,881,766,0,1,Debt Repayment,12,53,56,75,42,1,500,0.105,0.176,0.361
41,39078,30473,4468,3786,740,2,1,Short Term Savings,60,68,46,90,19,1,746,0.114,0.097,0.78
28,32129,11956,2989,16376,570,3,1,Debt Repayment,12,77,20,34,23,1,500,0.093,0.51,0.372
34,53693,20125,6488,14807,799,2,2,Debt Repayment,60,61,57,100,61,2,500,0.121,0.276,0.375
25,61398,53337,9847,24073,615,1,2,Short Term Savings,6,64,53,0,29,0,5736,0.16,0.392,0.869
52,54605,43227,7283,18515,676,1,1,Debt Repayment,36,37,51,52,49,1,500,0.133,0.339,0.792
52,44820,28301,9534,2889,653,1,3,Short Term Savings,12,43,30,21,19,0,3112,0.213,0.064,0.631
50,40811,33668,9265,1397,723,1,2,Short Term Savings,6,44,56,49,80,1,5819,0.227,0.034,0.825
22,33145,29618,4243,7497,558,5,1,Debt Repayment,12,64,74,51,52,1,500,0.128,0.226,0.894
45,44199,29453,3321,9588,607,2,1,Emergency Fund,12,37,66,47,82,1,9944,0.075,0.217,0.666
24,69193,46202,16426,27973,576,2,1,Emergency Fund,12,19,16,18,45,0,14704,0.237,0.404,0.668
26,23389,17603,4421,8871,565,1,1,Debt Repayment,6,32,20,53,27,0,500,0.189,0.379,0.753
25,31958,14038,5344,18579,590,0,2,Debt Repayment,36,70,63,50,34,1,500,0.167,0.581,0.439
29,38489,15406,7368,19816,583,0,1,Investing,36,93,29,55,44,1,5206,0.191,0.515,0.4
51,60018,45358,2249,17882,701,2,1,Debt Repayment,36,78,13,13,57,0,500,0.037,0.298,0.756
50,44466,22541,1580,13340,619,3,2,Emergency Fund,60,38,30,84,40,1,2160,0.036,0.3,0.507
40,59669,22736,3294,24134,629,2,1,Emergency Fund,6,42,27,32,55,0,25101,0.055,0.404,0.381
41,60682,29669,3271,4153,503,0,1,Investing,36,47,38,59,33,1,5317,0.054,0.068,0.489
54,51840,26707,6052,31100,729,2,1,Investing,60,29,40,62,40,1,3179,0.117,0.6,0.515
52,18720,16457,1052,5827,512,1,2,Investing,12,55,0,63,85,0,15303,0.056,0.311,0.879
